Expenses,Sales revenue,Cost of goods sold,Quality sold,Discounts,Avg selling prize,Return on investment,Product,Customer,sales channel,Sales person,Currency,Location,
54312,37932,8550,5,11,3473,1469,Rubber,Jessee,online,Jessee Sproule,Real,Brazil,
14705,32878,2522,35,71,4664,8952,Aluminum,Butch,retile,Butch Matveichev,Yuan Renminbi,China,
48144,94888,2472,44,92,3290,3319,Granite,Melva,whole sales,Melva Mayler,Dollar,Canada,
84490,93691,1483,39,71,3875,6912,Plexiglass,Englebert,online,Englebert Campanelli,Rupiah,Indonesia,
30074,88401,1107,35,68,4645,6773,Steel,Tatiania,retile,Tatiania Boncore,Yuan Renminbi,China,
35801,22806,5504,43,35,4896,2082,Stone,Jody,whole sales,Jody Shitliffe,Franc,Guinea,
62244,96304,7253,7,53,5565,5742,Glass,Lamont,online,Lamont Kivits,Franc,Gabon,
52207,10060,4348,75,56,3420,5983,Plastic,Skelly,retile,Skelly Willars,Real,Brazil,
93573,94260,8321,66,18,4220,4289,Plexiglass,Madelena,whole sales,Madelena Sanpher,Euro,France,
46105,96672,8239,5,19,3007,6282,Vinyl,Worden,online,Worden Spacey,Naira,Nigeria,
72847,57259,4151,37,60,5191,2853,Granite,Leeland,retile,Leeland Castano,Yuan Renminbi,China,
51570,10258,8219,81,95,5888,6659,Granite,Ardelle,whole sales,Ardelle Dingley,Euro,Portugal,
19276,45487,3869,91,42,5597,5057,Wood,Carlene,online,Carlene Gouldthorp,Rupiah,Indonesia,
91094,20906,7654,9,100,5638,3605,Vinyl,Kalvin,retile,Kalvin Lawley,Lempira,Honduras,
97918,57594,9711,93,84,3099,4628,Rubber,Arte,whole sales,Arte Rowles,Ruble,Russia,
70495,26042,4765,17,50,4949,6622,Wood,Wynn,online,Wynn Batter,Yuan Renminbi,China,
66236,87574,8173,30,14,3378,7935,Steel,Auguste,retile,Auguste Oldland,Yuan Renminbi,China,
74787,88985,1905,68,51,5764,5711,Glass,Alaster,whole sales,Alaster Pizzie,Rupee,Pakistan,
83958,48413,4209,3,68,5939,1683,Wood,Lucie,online,Lucie Clouter,Yuan Renminbi,China,
60117,15872,2837,25,64,4258,6333,Stone,Lilla,retile,Lilla Le Blanc,Zloty,Poland,
86296,55920,1898,74,8,3062,9038,Granite,Windy,whole sales,Windy Ames,Dollar,United States,
19186,20577,6675,58,66,5890,8653,Wood,Deirdre,online,Deirdre Dart,Peso,Philippines,
38515,39570,8781,28,76,5781,9885,Glass,Noel,retile,Noel Laminman,Euro,France,
44971,70683,5975,75,91,5205,9077,Rubber,Shandra,whole sales,Shandra Silverwood,Euro,Greece,
40895,30898,4401,17,80,5267,4375,Stone,Joby,online,Joby Hartmann,Afghani,Afghanistan,
23616,48375,7156,81,31,4698,1338,Aluminum,Evan,retile,Evan Warrell,Peso,Philippines,
